50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.695777,,,,,,,,,,,aab8f9de-9d0d-4b3a-b606-dc77d53b03a2,1180,,"[32.5, 54.2]",3794688,30,,,,,-1.5658703,,Right Foot,,,,"[32.6, 33.9]",,Ground Pass,,20.300247,,,,,Mats Hummels,5572.0,,,,,,1,From Free Kick,Matthias Ginter,8808.0,Right Center Back,69,Germany,770,['f6801626-00c8-44f6-a127-0eb5a003bc72'],40,,,,,,,,,,,,,,,,,,Germany,770,00:30:40.220,Pass,
,,,,,,,,,,,,,,,,0.888105,,,,,,,,,,,b55fe450-ce30-4de8-bad1-0a88e6ffe403,1183,,"[32.6, 33.9]",3794688,30,,,,,-0.2071752,,Right Foot,,,,"[48.3, 30.6]",,Ground Pass,,16.043068,,,,,Toni Kroos,5574.0,,,,,,1,From Free Kick,Mats Hummels,5572.0,Center Back,69,Germany,770,['90da2c6a-2f0a-45fb-8fc8-edd8d952c8ee'],42,,,,,,,,,,,,,,,,,,Germany,770,00:30:42.923,Pass,
,,,,,,,,,,,,,,,,1.139479,,,,,,,,,,,339f03ce-8594-4ee3-8a83-c4da46fdedf9,1187,,"[47.5, 28.8]",3794688,30,,,,,-0.8022316,,Right Foot,,,,"[62.1, 13.7]",,Ground Pass,,21.004047,,,,,Thomas Müller,5562.0,,,,,,1,From Free Kick,Toni Kroos,5574.0,Right Defensive Midfield,69,Germany,770,"['bc4ede8a-0517-4502-8ee3-5344d6a98f86', 'bcc3c468-e35b-4440-9be3-9f91f9f83961']",44,,,,,,,,,,,,,,,,,,Germany,770,00:30:44.491,Pass,True
,,,,,,,,,,,,,,,,1.614906,,,,,,,,,,,31cd11fb-4b4e-47f4-8b0a-cba8500031a6,1191,,"[62.6, 10.3]",3794688,30,,,,,-2.9115605,,Right Foot,,,,"[46.8, 6.6]",,Ground Pass,,16.227446,,,,,Antonio Rüdiger,3167.0,,,,,,1,From Free Kick,Thomas Müller,5562.0,Left Wing,69,Germany,770,"['46fe3557-116e-40ff-b086-3e1cef872c7e', '88697f51-20ca-4913-8d39-300e1af5408b']",46,,,,,,,,,,,,,,,,,,Germany,770,00:30:46.159,Pass,True
,,,,,,,,,,,,,,,,1.587761,,,,,,,,,,,b74a94ff-331a-4b24-b557-7491c4d009f7,1194,,"[46.8, 6.6]",3794688,30,,,,,2.0647378,,Left Foot,,,,"[39.1, 20.9]",,Ground Pass,,16.241306,,,,,Mats Hummels,5572.0,,,,,,1,From Free Kick,Antonio Rüdiger,3167.0,Left Center Back,69,Germany,770,['eb56e4ee-4409-4dd4-8ab1-8793f1010580'],48,,,,,,,,,,,,,,,,,,Germany,770,00:30:48.618,Pass,
,,,,,,,,,,,,,,,,1.249644,,,,,,,,,,,aec9f3f6-ad30-4f98-8324-a127625a2ff8,1198,,"[55.1, 44.4]",3794688,30,,,,,-0.34574595,,Right Foot,,,,"[73.7, 37.7]",,Ground Pass,,19.769926,,,,,Leon Goretzka,6324.0,,,,,,1,From Free Kick,Mats Hummels,5572.0,Center Back,69,Germany,770,"['4933fe1f-a629-45bf-86df-6001e3051a01', '8696595c-cfcb-4e90-9a6a-34c203cb4b03']",53,,,,,,,,,,,,,,,,,,Germany,770,00:30:53.491,Pass,True
,,,,,,,,,,,,,,,,0.767621,,,,,,,,,,,ed418ed6-2704-4ab6-b901-4ff169ac346c,1201,,"[74.3, 33.3]",3794688,30,,,,,-0.44926012,,Right Foot,,,,"[85.5, 27.9]",,Ground Pass,,12.433825,,,,,Thomas Müller,5562.0,,,,,,1,From Free Kick,Leon Goretzka,6324.0,Left Defensive Midfield,69,Germany,770,['c1d0f5c7-9552-4ffc-b118-3b85e1aab95f'],55,,,,,,,,,,,,,,,,,,Germany,770,00:30:55.679,Pass,
,,,,,,,,,,,,,,,,1.502203,,,,,,,,,,,198f2b55-a272-482c-92f5-f8c9dcdb2c37,1205,,"[86.3, 28.2]",3794688,30,,,,,1.513443,,Right Foot,,,,"[87.5, 49.1]",,Ground Pass,,20.934422,,,,,Kai Havertz,8966.0,,,,,,1,From Free Kick,Thomas Müller,5562.0,Left Wing,69,Germany,770,"['4cfa4cca-09f1-47a0-92b3-69f91a7355ba', 'd9b71280-f88a-4528-aa53-2001cedea404']",57,,,,,,,,,,,,,,,,,,Germany,770,00:30:57.045,Pass,True
,,,,,,,,,,,,,,,,1.098069,,,,,,,,,,,51301d50-d4b1-4f12-b16b-6a42cbdeee32,1208,,"[89.8, 48.3]",3794688,30,,,,,0.7105383,,Left Foot,,,,"[107.0, 63.1]",,Ground Pass,,22.690968,,,,,Joshua Kimmich,5579.0,,,,,,1,From Free Kick,Kai Havertz,8966.0,Right Wing,69,Germany,770,['6407488b-88aa-4ce9-a73e-e3b1e25f51e7'],59,,,,,,,,,,,,,,,,,,Germany,770,00:30:59.568,Pass,
,,,,,,,,,,,,,,,,2.287311,,,,,,,,,,,18b39c64-25d4-4c86-b8ca-bc567be31e13,1211,,"[100.9, 60.2]",3794688,31,,,,,-1.0526358,,Left Foot,,,,"[119.6, 27.4]",,High Pass,,37.75619,,,Out,,,,,,,,,1,From Free Kick,Joshua Kimmich,5579.0,Right Wing Back,69,Germany,770,,2,,,,,,,,,,,,,,,,,,Germany,770,00:31:02.234,Pass,
,,,,,,,,,,,,,,,,1.440795,,,,,,,,,,,bc533218-c2d4-482e-ab68-17fbce1750ea,1212,,"[7.0, 44.1]",3794688,31,,True,,,1.1991956,,Right Foot,,,,"[12.3, 57.7]",,Ground Pass,,14.596232,,,,,John Stones,3244.0,,,,,Goal Kick,1,From Goal Kick,Jordan Pickford,3468.0,Goalkeeper,70,England,768,['ee18ee3b-eff7-4d56-ae8e-7594e5ab0b35'],33,,,,,,,,,,,,,,,,,,England,768,00:31:33.187,Pass,
,,,,,,,,,,,,,,,,1.390907,,,,,,,,,,,33e25cab-2f4f-48a7-a857-b562863ffa55,1214,,"[12.3, 57.7]",3794688,31,,True,,,-1.9103732,,Right Foot,,,,"[5.8, 39.3]",,Ground Pass,,19.514353,,,,,Jordan Pickford,3468.0,,,,,,1,From Goal Kick,John Stones,3244.0,Center Back,70,England,768,['a84fc439-10c4-46cd-ad56-ffbd4bea4b0d'],34,,,,,,,,,,,,,,,,,,England,768,00:31:34.953,Pass,
,,,,,,,,,,,,,,,,3.038767,,,,,,,,,,,af640f5d-75f3-4ff8-8933-7d1880e88e93,1216,,"[6.3, 37.9]",3794688,31,,,,,-0.060980406,,Left Foot,,,,"[66.9, 34.2]",,High Pass,,60.71285,,,Incomplete,,Harry Kane,10955.0,,,,,,1,From Goal Kick,Jordan Pickford,3468.0,Goalkeeper,70,England,768,"['8c8b6d75-f688-4f60-8c4b-4977fb6d42cb', 'f3473d6f-6fee-4fe6-bb7b-3740c96c19a0']",37,,,,,,,,,,,,,,,,,,England,768,00:31:37.924,Pass,
,,,,,,,,,,,,,,,,0.687406,,,,,,,,,,,f3473d6f-6fee-4fe6-bb7b-3740c96c19a0,1219,,"[53.2, 45.9]",3794688,31,,,,True,-0.5093011,,,,,,"[60.9, 41.6]",,Low Pass,,8.819297,,,,,Leon Goretzka,6324.0,,,,,Recovery,1,From Counter,Matthias Ginter,8808.0,Right Center Back,71,Germany,770,"['af640f5d-75f3-4ff8-8933-7d1880e88e93', 'bcf1c4bf-7761-4dd3-9095-8d52c0bbd831', 'ed5e365d-17cf-41fc-a59d-18b433dc8a11']",40,,,,,,,,,,,,,,,,,,Germany,770,00:31:40.963,Pass,True
,,,,,,,,,,,,,,,,0.802993,,,,,,,,,,,c0fcfc2e-5d4b-4f97-963c-59e13b797db2,1222,,"[62.1, 41.8]",3794688,31,,,,,-0.7018493,,Right Foot,,,,"[73.1, 32.5]",,Ground Pass,,14.404513,,,,,Kai Havertz,8966.0,,,,,,1,From Counter,Leon Goretzka,6324.0,Left Defensive Midfield,71,Germany,770,['7f66de34-5025-4554-a8c0-5c74ccce6011'],42,,,,,,,,,,,,,,,,,,Germany,770,00:31:42.817,Pass,
,,,,,,,,,,,,,,,,2.001712,,,,,,,,,,,c739ed5b-642d-4c1d-a471-8a6ed63ba34d,1225,,"[85.8, 24.6]",3794688,31,,,,,0.112365164,febdc61a-464a-4e9c-a5cb-b31a9e94f980,Left Foot,,,,"[111.5, 27.5]",,Ground Pass,,25.863102,,,,,Timo Werner,5557.0,True,,Through Ball,True,,1,From Counter,Kai Havertz,8966.0,Right Wing,71,Germany,770,['009880dc-9ec7-477c-abcb-c3107eec137d'],45,,,,,,,,,,,,,,,,,,Germany,770,00:31:45.979,Pass,
,,,,,,,,,,,,,,,,2.100324,,,,,,,,,,,b7d2dbf8-3f5e-4596-925e-8e56535cb88b,1229,,"[8.9, 45.7]",3794688,31,,True,,,1.0688584,,Keeper Arm,,,,"[25.2, 75.4]",,Ground Pass,,33.878902,,,,,Kalvin Phillips,4706.0,,,,,,1,From Keeper,Jordan Pickford,3468.0,Goalkeeper,73,England,768,['e902c50a-1a2b-4ac1-8319-dbb2646ffbb4'],59,,,,,,,,,,,,,,,,,,England,768,00:31:59.154,Pass,
,,,,,,,,,,,,,,,,4.267221,,,,,,,,,,,2da8a06d-8599-4404-a3a7-94d89d3f433f,1231,,"[25.2, 75.4]",3794688,32,,True,,,-2.022867,,Right Foot,,,,"[11.7, 47.6]",,Ground Pass,,30.90453,,,,,John Stones,3244.0,,,,,,1,Regular Play,Kalvin Phillips,4706.0,Right Defensive Midfield,74,England,768,['8be868ec-cea7-4151-a2e2-cf9aeb9920c8'],1,,,,,,,,,,,,,,,,,,England,768,00:32:01.985,Pass,
